experiment,algorithm,scenario,seed,measurement_seed,model_training_seed,seed_scope,level,failure_mode,sample_count,mean_error,rmse,median_error,p90_error,max_error,los_mean_error,nlos_mean_error,mean_error_geometric_baseline,mean_error_change_vs_geometric,mean_error_absolute_improvement,mean_error_percent_improvement,absolute_error_change,absolute_improvement,percent_improvement,evaluation_split,inference_time_ms,training_time_s,model_size_mb
wall_attenuation,Direct AI,Wall/NLoS severity,2026,2026,42,fixed_root_model_across_measurement_seeds,1.65,not_applicable,450,5.20327582707828,5.715792084466421,4.895432959751366,8.372583765226606,11.61185451120764,6.525271531694432,4.863545087344521,5.3573785448897,-0.15410271781142,0.15410271781142,2.876457515932221,-0.15410271781142,0.15410271781142,2.876457515932221,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
wall_attenuation,Residual AI,Wall/NLoS severity,2026,2026,42,fixed_root_model_across_measurement_seeds,1.65,not_applicable,450,4.257394610509371,5.356288088936669,3.628603619015244,8.561969918240136,20.431196492753724,3.3527429986068253,4.489874913009467,5.3573785448897,-1.0999839343803297,1.0999839343803297,20.532130129755025,-1.0999839343803297,1.0999839343803297,20.532130129755025,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
anchor_failure,Geometric LS,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,0.0,random,450,4.589937035595725,5.484076960473381,4.091245212544053,7.136866593147338,15.14301985678526,2.488112724158553,5.108115328443118,4.589937035595725,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
anchor_failure,KNN,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,0.0,random,450,7.424612180162771,8.002824432820658,7.138373558708024,11.7235838779666,16.244477182561926,6.946822365577707,7.542405236944131,4.589937035595725,2.8346751445670453,-2.8346751445670453,-61.75847560835079,2.8346751445670453,-2.8346751445670453,-61.75847560835079,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
anchor_failure,Direct AI,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,0.0,random,450,5.508047374341095,5.976887917490293,5.354295931757293,8.484367151457752,11.432573941320348,6.571806847576903,5.245790883709552,4.589937035595725,0.9181103387453692,-0.9181103387453692,-20.002678285677355,0.9181103387453692,-0.9181103387453692,-20.002678285677355,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
anchor_failure,Residual AI,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,0.0,random,450,3.686557629561164,4.633531367400009,3.1783192892300933,5.624047407746073,14.79206111197079,3.32258921411218,3.776289454976564,4.589937035595725,-0.9033794060345616,0.9033794060345616,19.68173852993416,-0.9033794060345616,0.9033794060345616,19.68173852993416,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
anchor_failure,Geometric LS,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,1.0,random,450,3.881941065060489,4.337150837599489,3.829761058923863,6.055285498550847,14.531980528412165,2.409181580404772,4.28133346767899,3.881941065060489,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
anchor_failure,KNN,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,1.0,random,450,9.017571142618486,9.332576501168887,9.347283026005384,11.844648328997147,16.874460926577544,9.367526629962038,8.922667959610063,3.881941065060489,5.135630077557996,-5.135630077557996,-132.2954159139964,5.135630077557996,-5.135630077557996,-132.2954159139964,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
anchor_failure,Direct AI,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,1.0,random,450,6.064768338996401,6.370725261621481,6.0377532286099065,8.625492806275272,13.951887385542287,5.406148104938584,6.243377216029028,3.881941065060489,2.182827273935912,-2.182827273935912,-56.23030430787588,2.182827273935912,-2.182827273935912,-56.23030430787588,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
anchor_failure,Residual AI,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,1.0,random,450,3.293910138290378,3.6517211760792265,3.3889788691562126,5.047869536941839,9.977500300141337,3.5689250809239184,3.219329814864333,3.881941065060489,-0.5880309267701112,0.5880309267701112,15.147858169787757,-0.5880309267701112,0.5880309267701112,15.147858169787757,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
anchor_failure,Geometric LS,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,2.0,random,450,3.849013191070779,4.42909812501038,3.5819630367501563,6.153766431986923,14.34068093358884,2.936975029779421,4.639950849618056,3.849013191070779,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
anchor_failure,KNN,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,2.0,random,450,10.368461347662006,10.573727677358482,10.479086247848668,13.204900061481846,15.09791687405931,9.79300959474949,10.867504569067464,3.849013191070779,6.519448156591227,-6.519448156591227,-169.3797301530563,6.519448156591227,-6.519448156591227,-169.3797301530563,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
anchor_failure,Direct AI,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,2.0,random,450,7.953020088640892,8.22326828204959,7.977196761564585,10.487950233375017,14.245454715492084,8.819041045337176,7.201989466443699,3.849013191070779,4.104006897570113,-4.104006897570113,-106.62491121336988,4.104006897570113,-4.104006897570113,-106.62491121336988,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
anchor_failure,Residual AI,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,2.0,random,450,3.468914064204742,3.846920142076788,3.49733681152909,5.269281126997478,9.25167501287912,3.4471498615988185,3.487788414182493,3.849013191070779,-0.3800991268660372,0.3800991268660372,9.875235755175348,-0.3800991268660372,0.3800991268660372,9.875235755175348,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
anchor_failure,Geometric LS,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,3.0,random,450,4.862644316782551,5.759342019184619,4.588173771313234,9.021089554819625,24.449400574097783,3.210077595933741,6.401730061092387,4.862644316782551,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
anchor_failure,KNN,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,3.0,random,450,15.909261802705842,16.001621341134634,16.04291032491391,18.050858934905477,19.589678022777747,16.09501491663695,15.736264267413784,4.862644316782551,11.046617485923292,-11.046617485923292,-227.1730516624023,11.046617485923292,-11.046617485923292,-227.1730516624023,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
anchor_failure,Direct AI,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,3.0,random,450,8.45298426433166,8.711839899608075,8.403769861929936,11.398543121796614,13.811804714316883,7.852239885975703,9.012475809839136,4.862644316782551,3.5903399475491087,-3.5903399475491087,-73.8351340063613,3.5903399475491087,-3.5903399475491087,-73.8351340063613,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
anchor_failure,Residual AI,random anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,3.0,random,450,4.593138418633748,5.033343007308984,4.411290594028875,7.105504576617486,19.62012973804398,4.236500790180973,4.925285909510366,4.862644316782551,-0.269505898148803,0.269505898148803,5.542373256021449,-0.269505898148803,0.269505898148803,5.542373256021449,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
anchor_failure,Geometric LS,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,0.0,fixed_critical,450,4.589937035595725,5.484076960473381,4.091245212544053,7.136866593147338,15.14301985678526,2.488112724158553,5.108115328443118,4.589937035595725,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
anchor_failure,KNN,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,0.0,fixed_critical,450,7.424612180162771,8.002824432820658,7.138373558708024,11.7235838779666,16.244477182561926,6.946822365577707,7.542405236944131,4.589937035595725,2.8346751445670453,-2.8346751445670453,-61.75847560835079,2.8346751445670453,-2.8346751445670453,-61.75847560835079,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
anchor_failure,Direct AI,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,0.0,fixed_critical,450,5.508047374341095,5.976887917490293,5.354295931757293,8.484367151457752,11.432573941320348,6.571806847576903,5.245790883709552,4.589937035595725,0.9181103387453692,-0.9181103387453692,-20.002678285677355,0.9181103387453692,-0.9181103387453692,-20.002678285677355,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
anchor_failure,Residual AI,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,0.0,fixed_critical,450,3.686557629561164,4.633531367400009,3.1783192892300933,5.624047407746073,14.79206111197079,3.32258921411218,3.776289454976564,4.589937035595725,-0.9033794060345616,0.9033794060345616,19.68173852993416,-0.9033794060345616,0.9033794060345616,19.68173852993416,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
anchor_failure,Geometric LS,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,1.0,fixed_critical,450,4.646770271244022,5.720561436105987,4.01372493298379,8.567073478144057,18.88603628623644,2.664390961879298,5.26518014326159,4.646770271244022,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
anchor_failure,KNN,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,1.0,fixed_critical,450,9.145507778721637,9.413735087334183,9.307836043099694,12.103721762623982,14.727802286032784,9.203325361703588,9.127471389861377,4.646770271244022,4.498737507477613,-4.498737507477613,-96.81428701817924,4.498737507477613,-4.498737507477613,-96.81428701817924,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
anchor_failure,Direct AI,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,1.0,fixed_critical,450,8.163068656657195,8.726909421941182,7.797622381114159,12.751472075520352,17.195292353651443,6.827370448945441,8.579744190841327,4.646770271244022,3.5162983854131733,-3.5162983854131733,-75.67187917968234,3.5162983854131733,-3.5162983854131733,-75.67187917968234,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
anchor_failure,Residual AI,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,1.0,fixed_critical,450,4.205447762817969,5.150002473644462,3.653164698140356,7.621727207568289,15.095451020335346,3.711231167963629,4.3596202865771945,4.646770271244022,-0.4413225084260528,0.4413225084260528,9.49740319974766,-0.4413225084260528,0.4413225084260528,9.49740319974766,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
anchor_failure,Geometric LS,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,2.0,fixed_critical,450,4.150983813389307,4.90060168949784,3.944514554715256,6.75111681249494,14.531980528413108,2.9987518743035038,5.081098752169414,4.150983813389307,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
anchor_failure,KNN,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,2.0,fixed_critical,450,10.83377942970928,11.009020974166637,10.684072009651924,13.520564254550797,15.931309305447536,11.957853003046374,9.926394737979338,4.150983813389307,6.682795616319972,-6.682795616319972,-160.99305409874444,6.682795616319972,-6.682795616319972,-160.99305409874444,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
anchor_failure,Direct AI,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,2.0,fixed_critical,450,19.345110014928984,19.440749357423343,19.230361379872104,22.010592106326285,23.75387256546643,18.400656620198024,20.10750010465157,4.150983813389307,15.194126201539678,-15.194126201539678,-366.0367489877916,15.194126201539678,-15.194126201539678,-366.0367489877916,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
anchor_failure,Residual AI,fixed_critical anchor failure,2026,2026,42,fixed_root_model_across_measurement_seeds,2.0,fixed_critical,450,4.087625480053958,4.579358174249812,4.019104756445717,6.304919185186182,14.162263730337475,3.652332230285255,4.439006778060022,4.150983813389307,-0.0633583333353486,0.0633583333353486,1.5263449867229466,-0.0633583333353486,0.0633583333353486,1.5263449867229466,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
noise,Geometric LS,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,0.5,not_applicable,450,4.29959663322079,4.681349770372729,4.299868763566491,6.3934092102598505,14.531980528413223,3.324528181720684,4.546758831233352,4.29959663322079,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
noise,KNN,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,0.5,not_applicable,450,7.365851372825748,7.835642753974432,7.094366964531892,10.885679300755385,15.644372595946995,7.251110423284429,7.394936126052097,4.29959663322079,3.0662547396049584,-3.0662547396049584,-71.31493954371376,3.0662547396049584,-3.0662547396049584,-71.31493954371376,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
noise,Direct AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,0.5,not_applicable,450,5.3254540271351205,5.783615198120208,4.868254470721944,8.521156438169342,12.93766779943038,5.734516922917969,5.221763989485431,4.29959663322079,1.0258573939143307,-1.0258573939143307,-23.859386854758743,1.0258573939143307,-1.0258573939143307,-23.859386854758743,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
noise,Residual AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,0.5,not_applicable,450,3.011979847092713,3.499254153999574,2.809925886012649,5.134217575678002,10.27083548768124,2.884846546109752,3.04420583703547,4.29959663322079,-1.2876167861280767,1.2876167861280767,29.94738567286333,-1.2876167861280767,1.2876167861280767,29.94738567286333,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
noise,Geometric LS,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,1.0,not_applicable,450,4.327775764449115,4.767103195401142,4.185121932121176,6.503127359468459,14.531980528413294,3.2436516261120056,4.602581604528993,4.327775764449115,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
noise,KNN,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,1.0,not_applicable,450,7.3794365120376275,7.848144741797125,7.095301131405341,10.972668119324338,15.859770192416317,7.238447753530129,7.415174609598025,4.327775764449115,3.051660747588513,-3.051660747588513,-70.51337485312067,3.051660747588513,-3.051660747588513,-70.51337485312067,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
noise,Direct AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,1.0,not_applicable,450,5.376080515974409,5.834995053793395,5.001647096929374,8.470466069426974,12.643751508090318,5.776636487442695,5.274546829613366,4.327775764449115,1.0483047515252943,-1.0483047515252943,-24.22271412804433,1.0483047515252943,-1.0483047515252943,-24.22271412804433,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
noise,Residual AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,1.0,not_applicable,450,3.1349781167609065,3.648802108706138,2.962707202799209,5.19528677054506,10.358055141178632,2.9409897355669226,3.18415065906913,4.327775764449115,-1.192797647688208,1.192797647688208,27.561447556653626,-1.192797647688208,1.192797647688208,27.561447556653626,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
noise,Geometric LS,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,2.0,not_applicable,450,4.622857626256858,5.201022862858942,4.422732154230676,7.496668446598795,15.192636565037269,3.0897956723919644,5.011461074172471,4.622857626256858,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
noise,KNN,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,2.0,not_applicable,450,7.511908748449544,7.984836272849601,7.196546201222683,11.472308536049542,15.795021655283618,7.251374841184451,7.577949376753509,4.622857626256858,2.8890511221926864,-2.8890511221926864,-62.49491885243198,2.8890511221926864,-2.8890511221926864,-62.49491885243198,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
noise,Direct AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,2.0,not_applicable,450,5.5309629524758925,6.012694664000823,5.054190852656332,8.747086585742306,12.449981659429318,5.839498797236415,5.452754702132697,4.622857626256858,0.9081053262190348,-0.9081053262190348,-19.64380908166386,0.9081053262190348,-0.9081053262190348,-19.64380908166386,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
noise,Residual AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,2.0,not_applicable,450,3.5848580598781434,4.194633290042103,3.375874992573324,6.440933127113948,12.890936100434846,3.235983594484628,3.673291420186805,4.622857626256858,-1.0379995663787145,1.0379995663787145,22.45363474927489,-1.0379995663787145,1.0379995663787145,22.45363474927489,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
noise,Geometric LS,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,3.0,not_applicable,450,5.217475495514516,6.087504336691836,4.579603365385848,9.342111997131427,25.814121761065707,3.5272172415770844,5.645925359325954,5.217475495514516,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
noise,KNN,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,3.0,not_applicable,450,7.663986184464794,8.122106403181245,7.357976578560727,11.49571832821515,15.88114502935979,7.359141821258825,7.74125871107132,5.217475495514516,2.446510688950278,-2.446510688950278,-46.89069821321735,2.446510688950278,-2.446510688950278,-46.89069821321735,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
noise,Direct AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,3.0,not_applicable,450,5.766244611379819,6.314827913338973,5.385402121388677,9.4552038944054,14.309879880997974,5.8801821815284905,5.737363500283637,5.217475495514516,0.5487691158653032,-0.5487691158653032,-10.517904997102184,0.5487691158653032,-0.5487691158653032,-10.517904997102184,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
noise,Residual AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,3.0,not_applicable,450,4.28703612180293,5.131271704685864,3.915924190574087,8.117696031876168,21.685948684875555,3.763451677790329,4.419755298418938,5.217475495514516,-0.930439373711586,0.930439373711586,17.83313356261066,-0.930439373711586,0.930439373711586,17.83313356261066,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
noise,Geometric LS,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,5.0,not_applicable,450,6.426534555043614,7.644915131401263,5.312859692847026,11.934455923223409,25.814121761065707,4.893298680562912,6.815182088686354,6.426534555043614,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
noise,KNN,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,5.0,not_applicable,450,8.231885308658873,8.695521588087956,8.001574615068462,11.901170009380914,21.98495981300916,7.92566500122304,8.30950661221503,6.426534555043614,1.8053507536152589,-1.8053507536152589,-28.092134853587616,1.8053507536152589,-1.8053507536152589,-28.092134853587616,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
noise,Direct AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,5.0,not_applicable,450,6.551979633869444,7.344357575744863,6.121453645852889,11.354775137079542,21.70922420213929,6.372462622994605,6.59748394581822,6.426534555043614,0.1254450788258303,-0.1254450788258303,-1.9519863738596048,0.1254450788258303,-0.1254450788258303,-1.9519863738596048,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
noise,Residual AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,5.0,not_applicable,450,5.601203606967243,6.73731561264777,4.758880982697556,10.317082753978672,22.86218284383909,5.042320217784166,5.742870427066573,6.426534555043614,-0.8253309480763713,0.8253309480763713,12.842550538044527,-0.8253309480763713,0.8253309480763713,12.842550538044527,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
noise,Geometric LS,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,7.0,not_applicable,450,8.143440799648129,9.933995357660368,6.434096346209557,14.565433769258307,31.275391394452825,7.062136020850585,8.417531983131628,8.143440799648129,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
noise,KNN,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,7.0,not_applicable,450,9.088047509103392,9.697904606152049,8.666218614642517,13.360830662012104,24.15596701335658,8.805198076070212,9.159744719148016,8.143440799648129,0.9446067094552628,-0.9446067094552628,-11.599601847613094,0.9446067094552628,-0.9446067094552628,-11.599601847613094,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
noise,Direct AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,7.0,not_applicable,450,7.614119912770451,8.688422275370051,6.92959031493891,13.379030774837732,24.81154219796027,7.359647080485074,7.678624168307969,8.143440799648129,-0.5293208868776782,0.5293208868776782,6.499966045072123,-0.5293208868776782,0.5293208868776782,6.499966045072123,spatial_holdout_subset,3.768500000660424,20.88412470000003,0.163121223449707
noise,Residual AI,RSS noise,31415,31415,42,fixed_root_model_across_measurement_seeds,7.0,not_applicable,450,7.22356085036876,8.81256969460545,6.046330349028433,12.967229929356696,26.42679880189659,6.923633873721375,7.299586908516148,8.143440799648129,-0.9198799492793688,0.9198799492793688,11.295961644605018,-0.9198799492793688,0.9198799492793688,11.295961644605018,spatial_holdout_subset,25.4955999998856,16.251457800000026,207.80686378479004
wall_attenuation,Geometric LS,Wall/NLoS severity,31415,31415,42,fixed_root_model_across_measurement_seeds,0.75,not_applicable,450,4.221763433619545,4.666265222984857,4.173171425613303,6.4574861524276965,11.150772892354968,3.0425526414373927,4.520672018824491,4.221763433619545,0.0,0.0,0.0,0.0,0.0,0.0,spatial_holdout_subset,5.190799999581941,2.099999619531445e-06,0.0006723403930664
wall_attenuation,KNN,Wall/NLoS severity,31415,31415,42,fixed_root_model_across_measurement_seeds,0.75,not_applicable,450,7.371866269105704,7.82754437318536,7.043775753438482,11.163416399890435,15.695640818191729,7.219841293595021,7.410401847856322,4.221763433619545,3.150102835486159,-3.150102835486159,-74.61580652294879,3.150102835486159,-3.150102835486159,-74.61580652294879,spatial_holdout_subset,1.612199999726727,4.893909000000349,4.341403007507324
